perfume,brand,top notes,mid notes,base notes
Malbec Magnetic,O Boticario,"Grapes, Apple, Pink Pepper, Citruses, Cardamom, Cypress","Mineral Notes, Guaiac Wood, Rose, Cedar, Patchouli, Sandalwood, Green Notes, Cashmeran, Juniper, Nutmeg","Vanilla, Amber, Musk, Cypriol Oil or Nagarmotha, Olibanum"
Aguas De Limao Patchouli,O Boticario,"Lime, Herbal Notes, Chamomile, Lavender, Sage, Lemon","Cedar, Lily-of-the-valley, Cinnamon, Carnation, Geranium, Ylang-ylang","Patchouli, Musk, Cedar, Sandalowood, Amber, Vetiver, Benzoin"
Eau Paco Rabanne,Paco Rabanne,"Bergamot, Lavender, Lemon, Orange Blossom","Basil, Vetiver, Pepper, Precious Woods","Incense, Oakmoss, Musk, Sandalwood, Amber, Leather"
1 Million Absolutely Gold,Paco Rabanne,Mandarin Orange,Flowers,Leather
Ultraviolet Liquid Metal for Men,Paco Rabanne,"Mint, Mandarin Orange",Coriander,"Amber, Musk"
Galloway,Parfums De Marly,"Citruses, Pepper","Orange Blossom, Iris","Musk, Amber"
Lily Spice,Penhaligon S,"Lily, Saffron","Cloves, Pepper","Benzoin, Vanilla, Musk, Patchouli"
Prada Candy Kiss,Prada,Musk,"Musk, Orange Blossom","Musk, Vanilla"
Polo Cologne Intense Eau De Parfum,Ralph Lauren,"Basil, Mint, Grapefruit","Clary Sage, Violet Leaf, Thyme","Ambroxan, Vetiver, Patchouli"
Khaltat Al Khasa,Rasasi,"Spicy Notes, Bergamot","Rose, Saffron","Agarwood (oud), Amber, Sandalwood, Musk"
Kun Mukthalifan Women,Rasasi,"Peach, Bergamot","Tuberose, Heliotrope, Jasmine","Vanilla, Patchouli, Amber, Sandalwood, Musk"
Vanity,Rasasi,"Ylang-ylang, Pepper, Lemon, Bergamot","Magnolia, Olive Blossom, Cinnamon","Sandalwood, Ambergris, Musk"
Rv Pure,Roberto Verino,"Red Apple, Lime, Bergamot, Galbanum, Mandarin Orange","Basil, Lavender, Clary Sage, Seaweed, Jasmine, Clove","Virginia Cedar, Musk, Patchouli, Amber, Oak Moss, Sandalwood"
L Homme Rochas,Rochas,"Blood Orange, Pineapple, Cardamom","Juniper Berries, Geranium, Basil","Tonka Bean, Patchouli, Moss"
Karenina,Roja Dove,"Aldehydes, Bergamot","Carnation, Gardenia, Frangipani, Ylang-ylang, Violet, Jasmine, Orange Blossom, Rose, Geranium","Cloves, Vanilla, Green Notes, Musk, Cedar"
Ferragamo Bright Leather,Salvatore Ferragamo,"Bergamot, Mandarin Orange, Grapefruit","White Leather, Rosemary, Basil","Musk, Patchouli, Cedar"
Beijos De Sol,Sol De Janeiro,"Peach, Mango","Coconut Milk, Frangipani","White Musk, Woodsy Notes"
Rykiel Woman,Sonia Rykiel,"Violet, Dates, Pink Pepper","Pepper, Sunflower, Rose, Jasmine","Leather, Amber, Agarwood (oud), Olibanum, Musk"
Oumma,Stephane Humbert Lucas 777,"Moroccan Rose, Bulgarian Rose, Grasse Rose, Egyptian Jasmine","Tolu Balsam, Peru Balsam","Agarwood (oud), Cypriol Oil or Nagarmotha, Cade Oil"
Shawq,Swiss Arabian,"Pineapple, Black Currant, Bergamot","Birch, Lily-of-the-valley","Ambroxan, Patchouli, Musk"
Cafe Rose,Tom Ford,"May Rose, Saffron, Black Pepper","Turkish Rose, Bulgarian Rose, Coffee","Patchouli, Incense, Sandalwood, Amber"
Noir Eau De Toilette,Tom Ford,"Citruses, Mint, Italian Lemon","Oriental Notes, Spices, Herbal Notes","Musk, Woody Notes"
Sahara Noir,Tom Ford,"Labdanum, Cypress, Bitter Orange, Calamus","Incense, Beeswax, Cinnamon, Papyrus, Moroccan Rose, Egyptian Jasmine","Egyptian Balsam, Amber, Labdanum, Benzoin, Agarwood (oud), Cedar, Vanilla"
Bianco,Trussardi,"Gooseberry, Lotus, Pink Grapefruit","White Pepper, White Magnolia","Musk, Woody Notes, Amber"
Trussardi Uomo Levriero Limited Edition,Trussardi,"Italian Lemon, Violet Leaves, Cypress, Clary Sage, Galbanum","Mirabelle, Nutmeg, Geranium, Mahonial","Amyris, Amberwood, Patchouli, Musk, Guaiac Wood"
Valentino Uomo Born in Roma Green Stravaganza,Valentino,Calabrian Bergamot,Coffee,Vetiver
Valentina Assoluto,Valentino,"Truffle, Peach, Bergamot","Madagascar Vanilla, Tuberose, Italian Jasmine","Patchouli, Oakmoss, Cedar"
Valentino Donna,Valentino,"Bergamot, Grapefruit","Iris, Bulgarian Rose, Praline, Mahonial","Leather, Vanilla, Patchouli"
Precious Oud,Van Cleef Arpels,"Pink Pepper, Bergamot","Tuberose, Incense, Jasmine","Agarwood (oud), Sandalwood, Patchouli, Ambergris, Vetiver"
Crystal Noir Parfum,Versace,"Spices, Pink Pepper, Black Currant","Tuberose, Caramel, Lily of the Valley","Amber, Akigalawood, Sandalwood, Vanilla, Orchid"
Baby Rose Jeans,Versace,"Mandarin Orange, Peach, Green Notes, Bergamot","Violet, Hyacinth, Freesia, Lily-of-the-valley, Neroli, Rose","Vanilla, Sandalwood, White Musk"
Versus Time for Pleasure,Versace,"Blackberry, Raspberry, Blueberry, Strawberry","Apricot, Peach","Vanille, Musk"
Fabulous,Victoria S Secret,"Apricot, Red Currant, Mandarin Orange, Violet Leaves","Lily-of-the-valley, Pink Freesia, Osmanthus, Jasmine Sambac","Whipped Cream, Musk, Vanilla, Australian Sandalwood, Benzoin"
Forever Sexy,Victoria S Secret,"Orange, Coconut","Solar Notes, Gardenia","Amber, Woody Notes"
Amber Romance,Victoria S Secret,Sour Cherry,Custard,"Vanilla, Sandalwood"
Fabulous in Paradise,Victoria S Secret,Frangipani,Mimosa,Coconut
Very Sexy Now 2017,Victoria S Secret,Guava,Flowers,Coconut
Comme Une Evidence Le Parfum,Yves Rocher,"Violet Leaf, Nutmeg, Amber","Rose, Lily-of-the-valley, Jasmine","Patchouli, Oakmoss, Musk, Woody Notes, Praline"
Black Opium Nuit Blanche,Yves Saint Laurent,"Rice, Anise, Bourbon Pepper","Coffee, Orange Blossom, Coriander, Peony","Vanilla, Milk, Caramel, Sandalwood, White Musk"
Elle,Yves Saint Laurent,"Litchi, Peony, Amalfi Lemon","Pink Pepper, Rose, Jasmine, Freesia","Patchouli, Vetiver, Cedar, Ambrette (musk Mallow)"
Opium Collector S Edition 2014,Yves Saint Laurent,"Mandarin Orange, Bergamot","Carnation, Jasmine","Amber, Vanilla Absolute, Vetiver"
Parisienne Edition Singuliere,Yves Saint Laurent,"Blueberry, Cranberry, Vinyl","Damask Rose, Violet","Vetiver, Sandalwood"
Y Live,Yves Saint Laurent,Orange Blossom,"Ginger, Bergamot","Juniper, Sage"
Yellow Velvet,Zara,Peach,Orchid,Vanilla
Zara Silver,Zara,"Lime, Lemon",Geranium,"Musk, Vetiver"
Fields at Nightfall,Zara,Praline,Sandalwood,Tonka Bean
Rich Leather 2019,Zara,Pink Pepper,Pineapple,"Leather, Moss"
Caviar Bergamot,Zara,"Bergamot, Lemon, Grapefruit","Ginger, Jasmine",Musk
Tobacco Collection Intense Dark Exclusive 2021,Zara,Apple,Black Pepper,Tonka Bean
Zara for Him 2005,Zara,"Juniper Berries, Bergamot, Amalfi Lemon","Gin, Nutmeg","Virginia Cedar, Amber, Musk"
Blue Candy,Zara,Peach,Praline,Tonka Bean
Rosa Eau Legere,Tous,"Orange, Peach, Mulberry","Wild Rose, Rose, Magnolia","Amber, Musk, Suede, Woody Notes"
Dignita,Shiseido,"Pink Pepper, Pepper","White Flowers, Tuberose, Jasmine","Woodsy Notes, Musk"
Eikon,Oriflame,"Cinnamon, Black Pepper","Woodsy Notes, Suede, Cedar","Patchouli, Tonka Bean, Vanilla"
Native Force,Oriflame,"Cardamom, Lime, Grapefruit","Lavender, Clary Sage, Nutmeg","Cypress, Palo Santo, Guaiac Wood, Amber"
Giordani Gold Essenza Blossom,Oriflame,"Jasmine, Mandarin Orange, Pear","Orange Blossom, Ylang-ylang, Camellia","Musk, Vanilla, Ambroxan"
Giordani Man Notte,Oriflame,"Cypress, Black Pepper, Citruses","Coffee, Clove, Plum","Vetiver, Suede, Patchouli, Tonka Bean"
Possess the Secret Man,Oriflame,"Ice, Bergamot","Salt, Sage",Oak
Life Energy,Nautica,"Sea Notes, Grapefruit, Bergamot","Sage, Lily-of-the-valley, Ivy","Musk, Vetiver, Cedar"
Oceans,Nautica,"Sea Water, Amalfi Lemon","Salt, Geranium, Lavender","Teak Wood, Amber"
Extreme Oud,Louis Varel,Osmanthus,"Agarwood (oud), Geranium","Patchouli, Labdanum"
Zest for Life,Kensie,"Pineapple, Mango, Tangerine, Graperfuit, Lemon","Coconut Water, Hibiscus, Green Notes","Cedar, Sandalwood, Milk, Musk, Amber"
I Love Dreaming,Dzintars,"Bitter Orange, Tangerine, Stephanotis","Caramel, Lemon Verbena, Orchid, Rose","Patchouli, Vanilla, Mahogany, Saffron"
The Last Ph 85 the Last Pure Heart 85,Calaj,"Blood Orange, Black Currant, Orange","Leather, Coriander, Tobacco, Oakmoss, Jasmine","Peru Balsam, Amber, Vanilla, Cedar, Sandalwood, Musk"
Parco Palladiano I Magnolia,Bottega Veneta,"Grapefruit, Bergamot, Orange","Magnolia, Lily-of-the-valley, Rose","Green Notes, White Musk, Iso E Super"
Black Walnut Legend,Banana Republic,"Black Pepper, Kumquat, Calabrian Bergamot","Incense, Cyclamen, Geranium","Musk, Black Leather, Skin, Patchouli"
90 Pure White,Banana Republic,"Green Tea, Grapefruit, Bergamot","Violet Leaf, Jasmine, Lavender","Musk, Vetiver, Amber"
Excite,Axe,"Coconut, Black Pepper","Caramel, Hazelnut",Woody Notes
Wild Forest,Armand Basi,"Pepper, Nutmeg","Cedar, Violet Leaf","Leather, Incense, Musk, Ambergris, Vanilla, Patchouli"
Blue Seduction,Antonio Banderas,"Melon, Bergamot, Mint, Black Currant","Sea Water, Green Apple, Cappuccino, Cardamom, Nutmeg","Amber, Woodsy Notes"
Say Yes,Agonist,"Hazelnut, Fig, Bergamot","Vanila, Frangipani, Jasmine","Amber, Agarwood (oud), Sandalwood"
Angel Schlesser Oriental Edition Ii,Angel Schlesser,"Rose, Jasmine, Violet, Bergamot, Lily-of-the-valley","Praline, Saffron, Carnation","Patchouli, Sandalwood, Vanilla, Amber, Virginia Cedar, Musk, Vetiver"
Eau De Lacoste L 12 12 White,Lacoste Fragrances,"Grapefruit, Rosemary, Cardamom","Ylang-ylang, Tuberose","Suede, Virginia Cedar, Leather, Vetiver"
Pierre Cardin Collection Cedre Ambre,Pierre Cardin,"Nutmeg, Cardamom, Amalfi Lemon","Amber, Coriander, Geranium","Virginia Cedar, Cypress, Benzoin"
Candy,Superz,"Orange, Marshmallow, Apple","Iris, Jasmine, Caramel, Tonka Bean, Sandalwood","Cacao, Woody Notes, Amber, Vanilla, Musk"
Vince Camuto Eterno,Vince Camuto,"Mint, Citruses","Saffron, Bourbon Pepper","Cedar, Patchouli"
Ath X Fm Smoulder,Aaron Terence Hughes,"Neroli, Lemon","Olibanum, Tobacco","Olibanum, Sandalwood, Patchouli, Skin"
Luxury Overdose Pluie D Osmanthe,Absolument Parfumeur,"Bergamot, Wormwood, Mandarin Orange, Cassis","Osmanthus, Dew Drop, Jasmine, Marigold, Rose","Sandalwood, Myrrh, Vanilla, Tonka Bean, Musk, Cashmere Wood, Amber, Patchouli"
Tilia Cordata,Acca Kappa,"Petitgrain, Neroli, Bergamot, Lemon","Lime (linden) Blossom, Magnolia, Jasmine, Rose","White Musk, Cedar, Amber, Tonka Bean"
Accessorize,Accessorize,"Mandarin Blossom, African Orange Flower, Litchi, Bergamot","Cherry Blossom, Peony, Violet, Rose, Jasmine, Cassis","Musk, Amber, Vanille"
Acqua Di Portofino,Acqua Di Portofino,"Tangerine, Lemon, Tarragon","Pitosporum, Lavender, Nutmeg, Coriander, Cardamom","Vetiver, Musk, Patchouli"
Pelargonium,Aedes De Venustas,"Bergamot, Clary Sage, Cardamom, Black Pepper, Mandarin Orange, Sichuan Pepper","African Geranium, Elemi Resin, Orris Root, Carrot Seeds","Vetiver, Moss, Guaiac Wood, Musk, Cedar"
Crystal Peak,Alexandria Fragrances,"Bergamot, Mandarin Orange","Green Tea, Black Currant","Galbanum, Musk, Petitgrain, Sandalwood"
Valley of the Kings,Alexandria Fragrances,"Lemon, Orange","Damask Rose, Black Currant","Patchouli, Sandalwood, Vanilla, Labdanum, Musk"
From the Heart,Alghabra Parfums,"Peach, Bergamot, Petitgrain","Lily, Damask Rose, Ylang-ylang",Amber
Agarwood Noir,Amouroud,"Apricot, Saffron, Pink Pepper","Jasmine, Jasmine Sambac, French Rose","Leather, Olibanum, Vanilla, Oakmoss"
Utopia,Aqualis,"Apricot, Blood Orange, Clary Sage, Pink Pepper","Osmanthus, Rose, Peony, Jasmine, Iso E Super, Papyrus","Bourbon Vanilla, Amber, Sandalwood, Patchouli, Vetiver"
Manly,Areej Le Dore,"Patchouli, Oakmoss, Sweet Notes","Tobacco, Cinnamon, Tonka Bean, Nutmeg, Cashmeran, Saffron","Leather, Indian Oud, Sandalwood, Vanilla"
Cedrat Enivrant,Atelier Cologne,"Citron, Lime, Bergamot","Mint, Juniper Berries, Basil","Vetiver, Elemi, Tonka Bean"
Pomelo Paradis,Atelier Cologne,"Pink Grapefruit, Calabrian Mandarin, Black Currant","Orange Blossom, Mint, Bulgarian Rose","Vetiver, Amber, Iris"
Poivre Pomelo,Atelier Materi,"Grapefruit, Sichuan Pepper, Pink Pepper","Peony, Osmanthus, Angelica","Mate, Vetiver, Cedar"
Pirates Grand Reserve,Atkinsons,"Rum, Cacao, Vanilla, Heliotrope, Jasmine","Virginia Cedar, Cardamom, Broom, Clary Sage, Geranium","Cashmeran, Patchouli, Musk, Moss"
1000 Kisses Deep,B Never Too Busy to Be Beautiful,"Mandarin Orange, Amalfi Lemon",Osmanthus,"Myrhh, French Labdanum, Musk"
Just Confess You Re Obsessed,Benefit,"Peach, Sicilian Lemon",White Flowers,Plum
Al02,Biehl Parfumkunstwerke,"Plum, Peach, Amalfi Lemon, Mandarin Orange, Bergamot","Cinnamon, Cardamom, Carnation, Jasmine, Rose","Tonka Bean, Incense, French Labdanum, Sandalwood, Vetiver, Patchouli, Vanilla, Musk"
Imperial Limited Edition,Boadicea the Victorious,"Lavender, Palisander Rosewood, Angelica, Birch","Rose, Freesia, Geranium, Jasmine","Leather, Patchouli, Sandalwood, Agarwood (oud), Guaiac Wood"
Ignite,Boadicea the Victorious,"Cherry, Peach, Lime, Pink Pepper","Jasmine Sambac, Violet, Heliotrope, Rose","Musk, Amber, Vanilla, Patchouli, Sandalwood, Cedar, Vetiver, Tonka Bean"
Hasu,Boadicea the Victorious,"Saffron, Cypress, Mandarin Orange, Violet Leaf, Sage, Lavender","Hay, Iris, Damask Rose, Osmanthus, Nutmeg","Balsam Fir, Amber, Pepper, Patchouli, Musk, Moss"
603 Cuir Encens Feve Tonka,Bon Parfumeur,"Violet Leaf, Nutmeg, Lemon","Cypress, Olibanum, Sage","Leather, Tonka Bean, Cistus Incanus, Styrax, Cashmeran"
Lemon Neroli,Bronnley,"Sicilian Lemon, Mandarin Orange","Neroli, Lemon Blossom",Precious Woods
Sincere,Contradictions in Ilk,"Milk, Ginger Flower, Peach","Orris, Ambrette (musk Mallow), Ylang-ylang","Coconut, Musk, Saffron, Amber"
Utopia Ii,Ajmal,"Bergamot Leaf, Apple, Lemon","Water Notes, Cedar, Lavender, Thyme","Amber, Oakmoss, Patchouli"
Sacrifice for Her,Ajmal,"Jasmine, Water Notes","Vanilla, Orange Blossom","Ambergris, Musk"
Miracula,Angela Ciampagna,"Green Accord, Cyclamen, Sicilian Lemon","Tuberose, Ambrette (musk Mallow), Amber","Musk, Exotic Woods, Vanilla"
Havana Pour Elle,Aramis,"Melon, Peach, Mandarin Orange, Apple","Heliotrope, Ylang-ylang, Freesia, Rose","Cedar, Honey, Tonka Bean, Vanilla"
Leather Forever,De Gabor,"Leather, Saffron, Truffle, Smoke, Cinnamon, Rosebud","Leather, Sandalwood, Birch, Agarwood (oud), Patchouli, Amber, Tuscan Iris","Leather, Castoreum, Agarwood (oud), Oakmoss, Styrax, Musk, Vanilla"
Dkny Be Delicious City Blossom Rooftop Peony,Donna Karan,"Apple Blossom, Bergamot, Mandarin Orange, Black Currant","Peony, Rose, Raspberry","Amber, Mignonette, Sandalwood"
Dkny Be Delicious City Blossom Urban Violet,Donna Karan,"Apple Blossom, Red Berries, Mandarin Orange","Violet, Freesia, Rose Petals","Musk, Orris Root, Sandalwood"
Klasik Limon Lemon,Eyuep Sabri Tuncer,"Lemon, Orange, Bergamot","Lemon Blossom, Floral Notes","Lemon Peel, Water Notes, Musk"
Acqua Intense Man,Exuma Parfums,"Orange, Lemon","Sea Notes, Rose, Peony","Vetiver, Musk, Jasmine"
Verde Di Persia,Farmacia Ss Annunziata,"Green Apple, Cassis, Artemisia, Orange, Lemon","Pistachio Blossom, Apricot, Osmanthus, Rose","Amber, Palisander Rosewood, Musk, Patchouli"
Royal Arms Diamond Edition,Floris,"Violet Leaf, Lemon, Bergamot","Rose, Iris, Violet, Ylang-ylang, Jasmine","Musk, Ambergris, Vanilla, Patchouli"
Bergamotto Positano,Floris,"Bergamot, Sea Notes, Mandarin Orange","Vanila, Green Tea, Orange Blossom, Ginger","Vanila, Woodsy Notes, Spices, Amber, Ambrette (musk Mallow)"
Cavort Extrait De Parfum,Fragrance Du Bois,"Saffron, Cinnamon, Geranium, Davana","Rose, Ylang-ylang, Orange Blossom, Jasmine","Sandalwood, Incense, Labdanum, Patchouli"
Honeysuckle,Fresh,"Peach, Ylang-ylang, Black Currant","Honeysuckle, Magnolia, Jasmine, Plum, Cyclamen",Musk
Mandragore Pourpre,Goutal,"Star Anise, Mint, Bergamot","Pepper, Rosemary, Geranium, Amber","Incense, Patchouli, Heliotrope, Myrhh"
Les Nuits D Hadrien,Goutal,"Green Mandarin, Sicilian Bergamot, Sicilian Lemon, Tangerine","Cypress, Juniper, Caraway, Basil, Ylang-ylang","Patchouli, Amber, Musk, Sandalowood, Vanilla"
Seductive Red,Guess,"Cherry, Almond, Pink Pepper","Cherry Blossom, Violet, Magnolia","Vanilla, Tonka Bean, Sandalwood"
Lumiere D Orient,Gres,"Black Currant, Red Apple, Bergamot, Pink Pepper","Tuberose, Frangipani, Water Jasmine","Patchouli, Peru Balsam, Tonka Bean"
El Sireno,House of Bo,"Banana Leaf, Lavender, Laminaria","Ylang-ylang, Magnolia, Tuberose","Sandalwood, Oakmoss, Mastic or Lentisque"
Tiara Lux Edition,House of Sillage,"Tangerine, Cinnamon","Rose, Peony, Virginia Cedar","Vanille, Musk, Amber"
Mellow Yellow,Anna Sui,"Sugar, Passionfruit, Peach, Lemon","Osmanthus, Apple Tree Blossom, Jasmine Sambac","Vanilla, Musk, Plum Wood"
Regnum Opus,In the Box,"Almond, Tangerine, Bergamot, Watery Notes","Civet, Cardamom, Rose, Geranium, Gardenia, Water Lily","Vanilla, Agarwood (oud), Guaiac Wood, Coffee, Sandalwood, Oakmoss, Patchouli, Amber, Pink Pepper"
Ete Du Cocotier,Jacques Zolty,"Coconut, Bergamot","Ylang-ylang, Jasmine, Sea Water","Vanilla, Whipped Cream, Ambergris, Cypriol Oil or Nagarmotha, Tonka Bean"
Arome Arthes Seduction,Jeanne Arthes,"Coconut, Big Strawberry, Black Currant, Bergamot, Green Notes","White Honey, Jasmine, Rose, Orchid, Lily","Patchouli, Caramel, Vanille, Tonka Bean, Amber, Sandalwood, Musk"
Colonial Club Ypsos,Jeanne Arthes,"Red Berries, Bergamot, Grapefruit","Rhubarb, Lavender, Geranium","Amber, Vetiver, Patchouli"
Tea Time a Paris Pavlova,Jeanne Arthes,"Strawberry, Toffee, Apple",Rose,"Whipped Cream, Vanilla, White Musk"
Nea,Jul Et Mad Paris,"Dates, Pomegranate, Artemisia, Palm Leaf, Black Pepper","Dried Plum, Damask Rose, Jasmine Sambac","Caramel, Vanilla, Tonka Bean, Benzoin, Cashmeran, Ambroxan, Patchouli, Musk"
Herbae Clary Sage,L Occitane En Provence,"Bergamot, Bitter Orange, Thyme","Clary Sage, Grass, Angelica","Cashmeran, Elemi, Amber"
Compotas Corporais Jenipa,L Occitane Au Bresil,"Tropical Fruits, Genipapo",Peach,"Musk, Vetiver"
Nerotic,Laboratorio Olfattivo,"Red Fruits, Bergamot, Grapefruit","Saffron, Coriander, Geranium","Woody Notes, Smoke, Amber, Leather, Sandalwood"
Plaisir D Amour,Libertin Louison Technique Indiscrete,"Kumquat, Bergamot","Lily-of-the-valley, Rose, Jasmine, African Orange Flower","Oak Moss, Musk, Patchouli, Vetiver"
Curve Soul for Men,Liz Claiborne,"Bamboo Leaf, Green Apple, Bergamot, Mandarin Orange","Litchi, Lavender, Violet, Sage","Cedar, Spices, Sandalwood, Oakmoss, Amber, Vetiver"
Spark for Men,Liz Claiborne,"Rum, Cardamom, Pepper","Honey, Cognac, Fig Leaf","Amber, Sandalwood"
Fico Pesca,Luciano Soprani,"Nectarine, Fig Leaf, Calabrian Bergamot","Fig, Violet, Pear, Cyclamen, Jasmine","Musk, Sandalwood, Cedar"
Creme D Nude,Mac,Neroli,"Caramel, Musk, Suede","Madagascar Vanilla, Ambrette (musk Mallow)"
Bois De Turquie,Maitre Parfumeur Et Gantier,"Mandarin Orange, Orange Blossom, Bergamot","West Indian Bay, Orris Root, Jasmine, Geranium","Myrrh, Sandalwood, Incense, Patchouli"
No 10 by Mojo,Milton Lloyd,"Aromatic Spices, Brazilian Rosewood","Agarwood (oud), Cardamom","Amber, Sandalwood, Tonka Bean, Vetiver"
Cuir,Mona Di Orio,"Cardamom, Anise","Leather, Juniper","Castoreum, Opoponax"
Alada,Myrurgia,"Lemon, Lime, Mandarin Orange, Sage, Peach","Carnation, Jasmine, Spicy Notes, Cyclamen","Oakmoss, Cedar, Leather, Musk"
French Cancan,New Brand Parfums,"Star Anise, Orange Blossom, Pear, Rose, Mandarin Orange, Bergamot","Iris, Tuberose, Orchid, Ylang-ylang, Ginger, Plum","Vanilla, Sandalowood, Musk, Cinnamon, Amber"
L Eau Mixte,Nicolai Parfumeur Createur,"Grapefruit, Cassis, Mint, Bergamot, Italian Lemon","Rose, Jasmine, Spicy Notes","Vetiver, Musk, Oakmoss"
Anonimo Veneziano,Nobile 1942,"Orange, Bergamot, Mandarin Orange","Ylang-ylang, Jasmine, Lotus, Rose","French Labdanum, Sandalwood, Patchouli, Vanille"
Flame,Nuancielo,"Bitter Orange, Bergamot","Cinammon, Musk","Vanilla, Tonka Bean, Sandalwood"
Still Life,Olfactive Studio,"Yuzu, Pink Pepper, Black Pepper, Elemi, Sichuan Pepper","Galbanum, Star Anise","Rum, Virginia Cedar, Amber"
Muguet Fleuri,Oriza L Legrand,"Lily-of-the-valley, Green Leaves, Grass","Lily-of-the-valley, Violet Leaf, Galbanum, Angelica","Lily-of-the-valley, Lily, Oakmoss"
Ruby Rush,Paris Hilton,"Cherry, Hibiscus, Whipped Cream","Raspberry Bloom, Dahlia, Water Lily","Vanilla, Musk, Sandalwood"
La Petite Fleur D Amour,Paris Elysees,"Fruity Notes, Herbal Notes","Peach, Green Notes","White Musk, Amber, Woody Notes"
Tea Rose Jasmin,Perfumer S Workshop,"Rose, Lily-of-the-valley","Jasmine, Tuberose, Cedar","Sandalwood, Amber"
Jasmin De Pays,Perris Monte Carlo,Jasmine,"Tagetes, Clove",Musk
Extatic Gold Musk,Pierre Balmain,"Aldehydes, Bergamot","Tiare Flower, Cashmere Wood, Akigalawood","Musk, Sandalwood, Resins"
Divine,Providence Perfume Co,"Bitter Orange, Coriander, Bergamot","Neroli, African Orange Flower, Jasmine, Rose","Amber, Ambrette (musk Mallow), Vanille, Angelica, Musk"
Pra Onde Levam Esses Olhos Castanhos,Quem Disse Berenice,"Pineapple, Sicilian Mandarin, Sicilian Bergamot","Peach, Jasmine","Amber, Sandalwood, Musk"
Oud Delice,Robert Piguet,"Honey, Fig",Agarwood (oud),"Amber, Patchouli, Haitian Vetiver"
Poudre De Fleurs,Royal Crown,"Heliotrope, Neroli, Cardamom, Calabrian Bergamot, Jasmine, Lime","Jasmine, Grasse Rose, Bulgarian Rose, Osmanthus","Tuscan Iris, Vetiver, Patchouli, Sandalwood, Mexican Vanilla"
Ballade a Venise,Roberto Capucci,"Marigold, African Orange Flower, Mandarin Orange","Passionfruit, Olive Blossom, Ylang-ylang, Jasmine",Galbanum
Stella Eau De Toilette,Stella Mccartney,"Iced Lemon, Freesia, Mandarin Orange","Bulgarian Rose, Peony, Violet Leaf",Amber
Mandarin Orchid,The Body Shop,"Mandarin Orange, Orange, Guava","Lily-of-the-valley, Orchid","Ginger, Musk, Mahogany"
Strawberry Perfume Oil,The Body Shop,"Strawberry, Red Apple, Red Currant","Strawberry, Fruity Notes, Flowers","Strawberry, Vanilla, Nectarine, Musk"
Sanderling,Yves De Sistelle,"Bergamot, Tagetes, Green Notes","Tincture of Rose, Lilac, Jasmine","Woodsy Notes, Musk, Vanille"
I M Not Going to Disturb You Homme,Yohji Yamamoto,"Black Pepper, Artemisia, Bergamot","White Tabacco, Suede","Myrrh, Amber, Vanilla, Moss"
H M Mirabilia,H M,Lily-of-the-valley,"Milk, Peach","Sandalwood, Musk"
